date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:53	11895/11895	---M--	200	added ('OK')	application/javascript	date:Sun,%2018%20Oct%202020%2011:14:40%20GMT	https://softechcomputers.org.in/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/nextend-webfontloader.min.js?ver=ff7f6f5b	C:/My%20Web%20Sites/web/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/nextend-webfontloader.min33f7.js	(from https://softechcomputers.org.in/)
18:17:53	32550/32550	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Nov%202020%2009:17:51%20GMT	https://softechcomputers.org.in/wp-content/uploads/2020/09/logo.png	C:/My%20Web%20Sites/web/wp-content/uploads/2020/09/logo.png	(from https://softechcomputers.org.in/)
18:17:53	9896/9896	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2009:17:54%20GMT	https://softechcomputers.org.in/wp-content/uploads/2020/09/logo.svg	C:/My%20Web%20Sites/web/wp-content/uploads/2020/09/logo.svg	(from https://softechcomputers.org.in/)
18:18:01	100228/100228	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:47:54%20GMT	https://softechcomputers.org.in/about-us/	C:/My%20Web%20Sites/web/about-us/index.html	(from https://softechcomputers.org.in/)
18:18:02	143345/143345	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:47:54%20GMT	https://softechcomputers.org.in/courses-offered/it-courses/	C:/My%20Web%20Sites/web/courses-offered/it-courses/index.html	(from https://softechcomputers.org.in/)
18:18:03	89173/89173	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:47:56%20GMT	https://softechcomputers.org.in/courses-offered/computer-courses/	C:/My%20Web%20Sites/web/courses-offered/computer-courses/index.html	(from https://softechcomputers.org.in/)
18:18:16	99040/99040	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:48:04%20GMT	https://softechcomputers.org.in/courses-offered/networking-courses/	C:/My%20Web%20Sites/web/courses-offered/networking-courses/index.html	(from https://softechcomputers.org.in/)
18:18:17	142764/142764	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:48:05%20GMT	https://softechcomputers.org.in/courses-offered/cad-courses/	C:/My%20Web%20Sites/web/courses-offered/cad-courses/index.html	(from https://softechcomputers.org.in/)
18:18:29	80894/80894	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:48:23%20GMT	https://softechcomputers.org.in/courses-offered/exclusive-individual-courses/	C:/My%20Web%20Sites/web/courses-offered/exclusive-individual-courses/index.html	(from https://softechcomputers.org.in/)
18:18:35	114043/114043	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:48:31%20GMT	https://softechcomputers.org.in/courses-offered/multimedia-courses/	C:/My%20Web%20Sites/web/courses-offered/multimedia-courses/index.html	(from https://softechcomputers.org.in/)
18:18:42	39954/39954	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Nov%202020%2011:10:52%20GMT	https://softechcomputers.org.in/wp-content/uploads/2020/11/python.png	C:/My%20Web%20Sites/web/wp-content/uploads/2020/11/python.png	(from https://softechcomputers.org.in/)
18:18:46	81522/81522	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:48:43%20GMT	https://softechcomputers.org.in/gallery/	C:/My%20Web%20Sites/web/gallery/index.html	(from https://softechcomputers.org.in/)
18:18:56	52977/52977	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Nov%202020%2011:13:12%20GMT	https://softechcomputers.org.in/wp-content/uploads/2020/11/devops.png	C:/My%20Web%20Sites/web/wp-content/uploads/2020/11/devops.png	(from https://softechcomputers.org.in/)
18:19:00	78757/78757	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:48:57%20GMT	https://softechcomputers.org.in/get-in-touch/	C:/My%20Web%20Sites/web/get-in-touch/index.html	(from https://softechcomputers.org.in/)
18:19:03	591380/591380	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Oct%202020%2013:58:49%20GMT	http://softechcomputers.org.in/wp-content/uploads/2020/10/girl2.png	C:/My%20Web%20Sites/web/wp-content/uploads/2020/10/girl2.png	(from https://softechcomputers.org.in/)
18:19:05	32457/32457	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Nov%202020%2011:07:59%20GMT	https://softechcomputers.org.in/wp-content/uploads/2020/11/java.png	C:/My%20Web%20Sites/web/wp-content/uploads/2020/11/java.png	(from https://softechcomputers.org.in/)
18:19:10	80937/80937	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:49:05%20GMT	https://softechcomputers.org.in/softech-computers/	C:/My%20Web%20Sites/web/softech-computers/index.html	(from https://softechcomputers.org.in/)
18:19:10	26032/26032	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Dec%202020%2010:52:25%20GMT	https://softechcomputers.org.in/wp-content/uploads/2020/10/heritage2-300x282.png	C:/My%20Web%20Sites/web/wp-content/uploads/2020/10/heritage2-300x282.png	(from https://softechcomputers.org.in/)
18:19:12	544317/544317	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Oct%202020%2006:11:54%20GMT	http://softechcomputers.org.in/wp-content/uploads/2020/10/girl.png	C:/My%20Web%20Sites/web/wp-content/uploads/2020/10/girl.png	(from https://softechcomputers.org.in/)
